,volume,volume weighted,open price,close price,high price,low price,timestamp,number
0,1853.726683179999,58263.4399,58049.0,58632.0,58710.0,57800.0,2021-03-20 00:00:00,31574
1,671.1373744899997,58658.3421,58636.0,58735.64,58887.41,58491.92,2021-03-20 01:00:00,21873
2,1171.0395739800001,58668.4997,58751.0,58551.42,58916.01,58421.6,2021-03-20 02:00:00,20182
3,828.1012298299993,58385.3884,58551.42,58390.0,58615.0,58187.37,2021-03-20 03:00:00,19970
4,943.2659735099994,58396.87,58373.2116708,58231.97,58631.94,58153.0,2021-03-20 04:00:00,18637
5,825.6274517900018,58240.6309,58234.77,58150.59,58394.35,58044.93,2021-03-20 05:00:00,14726
6,563.7558248,58278.8055,58150.6,58370.18,58406.9,58000.0,2021-03-20 06:00:00,13566
7,817.7552087700004,58394.2729,58370.18,58454.0,58566.57,58270.23,2021-03-20 07:00:00,13625
8,1573.075687409999,58691.2669,58431.44,58674.59,58855.98,58406.2,2021-03-20 08:00:00,15925
9,836.7414700400001,58744.4419,58688.65,58764.2,58959.0,58590.89,2021-03-20 09:00:00,11673
10,1162.8457279000017,58788.8527,58780.52,58683.84,59957.0,57997.47,2021-03-20 10:00:00,12266
11,1416.5797167100002,59034.1873,58706.02,59330.0,59399.0,58626.0,2021-03-20 11:00:00,18289
12,1684.5997658799986,59043.9344,59257.4,59256.0,59400.0,58766.16,2021-03-20 12:00:00,17162
13,4071.7472691100024,59463.6593,59180.01,59162.0,60000.0,58590.86,2021-03-20 13:00:00,44836
14,2247.03816501,59164.7517,59060.09,59384.38,59418.0,58767.88,2021-03-20 14:00:00,25726
15,2152.452788019999,59435.514,59393.06,59274.08,59754.0,59021.02,2021-03-20 15:00:00,26609
16,1487.9379716599992,59071.7403,59273.35,59035.99,59367.0,58904.05,2021-03-20 16:00:00,22505
17,1048.5363434400003,59192.9729,59063.03,59169.15,59359.0,59015.68,2021-03-20 17:00:00,19045
18,1141.7805971399996,59262.5873,59167.84,59164.62,59517.0,59106.87,2021-03-20 18:00:00,20303
19,740.3290571300001,59261.0735,59154.3,59276.66,59450.0,59126.93,2021-03-20 19:00:00,16789
20,5577.844381000038,58500.7271,59289.74,58554.76,59389.87,58069.71972,2021-03-20 20:00:00,52163
21,898.4566911499999,58623.915,58546.65,58731.41,58789.3,58339.0,2021-03-20 21:00:00,18599
